"data","regiosanitariacodi","regiosanitariadescripcio","edatrang","sexecodi","sexedescripcio","resultatcoviddescripcio","numcasos"
"2020-06-21T00:00:00.000","6100","Lleida","20-29","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","40-49","0","Home","Sospitós","4"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","50-59","1","Dona","Sospitós","8"
"2020-06-21T00:00:00.000","6100","Lleida","40-49","1","Dona","Sospitós","7"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","60-69","1","Dona","Sospitós","8"
"2020-06-21T00:00:00.000","6100","Lleida","40-49","1","Dona","Positiu PCR","2"
"2020-06-21T00:00:00.000","7100","Alt Pirineu i Aran","40-49","1","Dona","Sospitós","2"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","30-39","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","6700","Catalunya Central","0-9","0","Home","Sospitós","1"
"2020-06-21T00:00:00.000","6300","Terres de l'Ebre","30-39","1","Dona","Sospitós","1"
"2020-06-21T00:00:00.000","6700","Catalunya Central","40-49","1","Dona","Sospitós","7"
"2020-06-21T00:00:00.000","6700","Catalunya Central","70-79","1","Dona","Sospitós","7"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","70-79","0","Home","Sospitós","20"
"2020-06-21T00:00:00.000","6400","Girona","90+","0","Home","Sospitós","3"
"2020-06-21T00:00:00.000","6400","Girona","40-49","1","Dona","Sospitós","7"
"2020-06-21T00:00:00.000","6700","Catalunya Central","60-69","0","Home","Sospitós","12"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","50-59","1","Dona","Sospitós","7"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","40-49","1","Dona","Sospitós","3"
"2020-06-21T00:00:00.000","6100","Lleida","70-79","1","Dona","Sospitós","3"
"2020-06-21T00:00:00.000","6400","Girona","70-79","0","Home","Sospitós","11"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","60-69","1","Dona","Sospitós","2"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","70-79","0","Home","Sospitós","17"
"2020-06-21T00:00:00.000","6300","Terres de l'Ebre","70-79","0","Home","Sospitós","2"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","20-29","0","Home","Sospitós","6"
"2020-06-21T00:00:00.000","6100","Lleida","20-29","1","Dona","Sospitós","10"
"2020-06-21T00:00:00.000","6100","Lleida","90+","1","Dona","Sospitós","1"
"2020-06-21T00:00:00.000","6700","Catalunya Central","20-29","1","Dona","Sospitós","1"
"2020-06-21T00:00:00.000","6400","Girona","20-29","1","Dona","Sospitós","5"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","0-9","0","Home","Sospitós","1"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","0-9","1","Dona","Sospitós","2"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","70-79","1","Dona","Sospitós","4"
"2020-06-21T00:00:00.000","6700","Catalunya Central","20-29","0","Home","Sospitós","3"
"2020-06-21T00:00:00.000","6100","Lleida","60-69","0","Home","Sospitós","1"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","0-9","0","Home","Sospitós","7"
"2020-06-21T00:00:00.000","6100","Lleida","30-39","1","Dona","Positiu PCR","2"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","50-59","1","Dona","Sospitós","16"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","60-69","0","Home","Sospitós","8"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","90+","1","Dona","Sospitós","5"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","90+","1","Dona","Sospitós","5"
"2020-06-21T00:00:00.000","6100","Lleida","80-89","0","Home","Sospitós","1"
"2020-06-21T00:00:00.000","6700","Catalunya Central","10-19","0","Home","Sospitós","4"
"2020-06-21T00:00:00.000","6700","Catalunya Central","40-49","0","Home","Positiu PCR","1"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","60-69","0","Home","Sospitós","20"
"2020-06-21T00:00:00.000","7100","Alt Pirineu i Aran","40-49","0","Home","Sospitós","1"
"2020-06-21T00:00:00.000","7801","Metropolità Sud","70-79","1","Dona","Sospitós","16"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","30-39","0","Home","Positiu PCR","1"
"2020-06-21T00:00:00.000","7803","Barcelona Ciutat","10-19","1","Dona","Sospitós","2"
"2020-06-21T00:00:00.000","6400","Girona","60-69","1","Dona","Positiu PCR","1"
"2020-06-21T00:00:00.000","6200","Camp de Tarragona","20-29","1","Dona","Sospitós","4"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","40-49","0","Home","Sospitós","17"
"2020-06-21T00:00:00.000","6400","Girona","30-39","0","Home","Sospitós","3"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","40-49","1","Dona","Sospitós","14"
"2020-06-21T00:00:00.000","6100","Lleida","30-39","0","Home","Positiu PCR","1"
"2020-06-21T00:00:00.000","7802","Metropolità Nord","0-9","0","Home","Positiu PCR","1"
